objectid,length,name,oneway,fnode,tnode,,,,,,,,
"2,343",5,CLEVELAND, ,171666187336,171671187337,,,,,,,,
"2,389",11,OLD BARKSDALE, ,170403186343,170394186350,,,,,,,,
"19,392",12,HILLSIDE, ,170550186834,170546186823,,,,,,,,
"2,385",12,APPLE, ,170353186303,170361186294,,,,,,,,
384,16,MAIN, ,169732187447,169746187440,,,,,,,,
"2,337",18,COLLEGE, ,171014187301,171014187319,,,,,,,,
"19,288",25,LINCOLN, ,169964185971,169946185990,,,,,,,,
"2,406",26,BARKSDALE, ,170139186518,170163186528,,,,,,,,
"19,287",26,COLLEGE, ,169922185988,169946185990,,,,,,,,
"33,424",31,RENEE, ,170302187746,170276187729,,,,,,,,
"2,347",34,NEW LONDON, ,170603187334,170589187365,,,,,,,,
"17,736",36,ANNABELLE, ,171641187473,171621187502,,,,,,,,
"40,556",37,MAIN,y,171092186888,171055186886,,,,,,,,
"19,304",39,QUINCEY, ,169951186129,169991186134,,,,,,,,
"19,320",41,MADISON DR, ,169982186189,170017186210,,,,,,,,
"19,306",44,MADISON, ,169715186144,169688186110,,,,,,,,
366,45,CHAPEL, ,171694187301,171666187336,,,,,,,,
"17,703",45,AMSTEL, ,170739186668,170699186689,,,,,,,,
"19,457",45,TERRY, ,170496187315,170452187324,,,,,,,,
"19,493",48,LAWSON, ,171641187473,171680187501,,,,,,,,
"37,455",49,SAW MILL, ,169335186356,169339186307,,,,,,,,
"1,120",49,ELKTON,y,170172186092,170205186128,,,,,,,,
"2,439",49,CLEVELAND, ,170695187161,170739187182,,,,,,,,
"19,494",49,VASSAR, ,169234187492,169192187516,,,,,,,,
"37,456",49,SAW MILL, ,169329186405,169335186356,,,,,,,,
"19,303",50,THORN, ,169688186110,169643186130,,,,,,,,
"19,497",52,VASSAR, ,169192187516,169145187539,,,,,,,,
"17,653",52,ADAMS, ,169675185895,169723185915,,,,,,,,
"19,423",53,PHEASANT, ,169216187060,169163187059,,,,,,,,
"37,454",54,SLUICE, ,169335186356,169282186345,,,,,,,,
"17,695",55,BENT, ,169229186580,169283186581,,,,,,,,
"19,389",55,RAHWAY, ,169221186805,169166186803,,,,,,,,
"19,402",56,HILLSIDE, ,170570186886,170550186834,,,,,,,,
"19,318",56,MADISON, ,169991186134,169982186189,,,,,,,,
"19,432",56,LAFAYETTE, ,169215187147,169271187147,,,,,,,,
"19,295",57,CONNELL, ,169613185992,169625186047,,,,,,,,
"19,351",57,PICKETT, ,169235186465,169178186463,,,,,,,,
"2,379",57,CASHO MILL, ,169318186179,169299186233,,,,,,,,
"19,523",60,CURTIS, ,171497187796,171484187737,,,,,,,,
"19,469",60,MARGARET, ,171666187336,171699187388,,,,,,,,
"19,454",61,TERRY, ,170552187294,170496187315,,,,,,,,
"19,281",61,LINCOLN, ,170009185931,169964185971,,,,,,,,
"40,526",62,ELKTON,y,170394186350,170353186303,,,,,,,,
"39,821",62,RADCLIFFE, ,169607186793,169584186849,,,,,,,,
379,64,MAIN, ,170397187120,170455187092,,,,,,,,
"1,172",65,ELKTON,y,170361186294,170403186343,,,,,,,,
"19,467",66,KENNARD, ,170496187315,170506187381,,,,,,,,
"17,677",67,CASHO MILL, ,169342186116,169318186179,,,,,,,,
"40,563",69,MAIN,y,171689186945,171620186938,,,,,,,,
"19,357",69,HAINES, ,171662186524,171668186455,,,,,,,,
"40,508",71,ELKTON,y,170055185986,170009185931,,,,,,,,
"19,207",72,PATRICK HENRY, ,169445186241,169469186173,,,,,,,,
"19,327",72,WINSLOW, ,170714186272,170642186273,,,,,,,,
"2,352",73,NEW LONDON, ,170589187365,170564187433,,,,,,,,
"2,442",74,CASHO MILL, ,169215187147,169209187221,,,,,,,,
"17,728",74,CENTER, ,171520187077,171510187151,,,,,,,,
"39,826",75,RADCLIFFE, ,169678187297,169704187367,,,,,,,,
"2,377",76,CHAPEL, ,171945186149,171924186222,,,,,,,,
"17,681",76,APPLE, ,170361186294,170415186240,,,,,,,,
"2,407",77,CHAPEL, ,171874186484,171860186560,,,,,,,,
391,77,NOTTINGHAM, ,169171187718,169241187685,,,,,,,,
"19,337",78,NATHAN HALE, ,169520186275,169550186204,,,,,,,,
"19,427",78,LINDEN, ,171520187077,171597187088,,,,,,,,
"40,561",79,MAIN,y,171620186938,171542186931,,,,,,,,
"2,399",79,CASHO MILL, ,169242186387,169235186465,,,,,,,,
"2,342",80,CLEVELAND, ,171587187323,171666187336,,,,,,,,
"17,572",80,APPLE, ,170415186240,170441186165,,,,,,,,
"19,464",80,CORBIT, ,170589187365,170552187294,,,,,,,,
"19,350",81,LOVETT, ,171749186464,171668186455,,,,,,,,
"19,336",83,COLONIAL, ,169520186275,169445186241,,,,,,,,
"19,290",83,O DANIEL, ,169613185992,169543185956,,,,,,,,
"39,824",83,RADCLIFFE, ,169616187056,169629187138,,,,,,,,
"40,560",84,MAIN,y,171542186931,171458186923,,,,,,,,
"41,561",85,RADCLIFFE,y,169704187367,169746187440,,,,,,,,
"19,375",85,VASSAR, ,169283186581,169281186666,,,,,,,,
"19,811",85,RADCLIFFE,y,169732187447,169704187367,,,,,,,,
376,86,MAIN, ,170804186920,170882186884,,,,,,,,
"2,437",86,CASHO MILL, ,169216187060,169215187147,,,,,,,,
"19,372",87,OLD OAK, ,170173186644,170137186566,,,,,,,,
"19,434",88,LAFAYETTE, ,169271187147,169359187150,,,,,,,,
"2,395",89,BARKSDALE, ,169242186387,169329186405,,,,,,,,
"19,435",89,LAFAYETTE, ,169359187150,169448187152,,,,,,,,
"19,445",89,WILSON, ,170510187205,170589187166,,,,,,,,
"19,438",89,LAFAYETTE, ,169541187153,169629187138,,,,,,,,
"19,465",91,KERSHAW, ,171433187281,171407187368,,,,,,,,
"19,396",91,OLD OAK, ,170268186848,170230186765,,,,,,,,
"19,382",92,HILLSIDE, ,170504186739,170464186655,,,,,,,,
"17,698",92,BRIAR, ,169796186619,169882186584,,,,,,,,
"40,517",92,ELKTON,y,170268186212,170204186145,,,,,,,,
"19,205",93,PARK, ,170469185970,170377185967,,,,,,,,
"19,437",93,LAFAYETTE, ,169448187152,169541187153,,,,,,,,
"39,823",93,RADCLIFFE, ,169601186964,169616187056,,,,,,,,
"19,391",94,HILLSIDE, ,170546186823,170504186739,,,,,,,,
"19,455",95,DALLAM, ,169586187319,169678187297,,,,,,,,
"2,350",96,COLLEGE, ,171014187319,171037187412,,,,,,,,
"19,418",96,WILSON, ,169986186896,170042186972,,,,,,,,
"17,673",97,BEVERLY, ,170615186069,170614186165,,,,,,,,
"19,335",97,ETHAN ALLEN, ,169423186269,169520186275,,,,,,,,
"17,668",98,APPLE, ,170456186067,170469185970,,,,,,,,
"19,448",98,CORBIT, ,170552187294,170510187205,,,,,,,,
"19,443",98,NEW, ,171647187176,171744187194,,,,,,,,
"19,442",99,DALLAM, ,169889187182,169977187138,,,,,,,,
"1,201",99,ELKTON,y,170699186689,170761186765,,,,,,,,
"19,271",99,WESTFIELD, ,169464185870,169548185826,,,,,,,,
"17,672",100,APPLE, ,170441186165,170456186067,,,,,,,,
"19,310",100,SUNSET, ,170715186166,170614186165,,,,,,,,
"17,669",101,BEVERLY, ,170601185971,170615186069,,,,,,,,
"19,385",101,VASSAR, ,169281186666,169279186767,,,,,,,,
"40,565",101,MAIN,y,171789186955,171689186945,,,,,,,,
365,102,MAIN, ,169963187334,170055187289,,,,,,,,
"17,715",102,BRIAR, ,169684186865,169668186764,,,,,,,,
"19,447",102,DALLAM, ,169797187227,169889187182,,,,,,,,
"19,292",102,MANUAL, ,171630186017,171626185914,,,,,,,,
"17,735",103,ANNABELLE, ,171699187388,171641187473,,,,,,,,
"40,548",103,ELKTON,y,170761186765,170690186692,,,,,,,,
"19,323",103,MADISON, ,169982186189,169901186243,,,,,,,,
367,103,MAIN, ,169871187379,169963187334,,,,,,,,
"1,121",103,ELKTON,y,170205186128,170277186202,,,,,,,,
"19,486",103,MARGARET, ,171699187388,171750187477,,,,,,,,
"17,662",104,ACADEMY, ,171367186028,171354185925,,,,,,,,
"19,274",104,MANUAL, ,171626185914,171627185810,,,,,,,,
"19,483",105,TUFTS, ,169395187384,169467187450,,,,,,,,
"17,714",105,BENT, ,169607186793,169684186865,,,,,,,,
"19,462",105,WILBUR, ,171238187335,171253187230,,,,,,,,
"19,334",105,ORCHARD, ,170820186168,170819186273,,,,,,,,
"19,296",105,PEACH, ,170377185967,170356186067,,,,,,,,
"19,325",105,TOWNSEND, ,170714186272,170715186166,,,,,,,,
"19,312",106,SUNSET, ,170820186168,170715186166,,,,,,,,
"19,333",106,WINSLOW, ,170819186273,170714186272,,,,,,,,
"2,327",106,CHAPEL, ,172000185944,171972186046,,,,,,,,
"2,331",106,CHAPEL, ,171972186046,171945186149,,,,,,,,
"19,475",106,TUFTS, ,169294187401,169395187384,,,,,,,,
"19,285",107,PARK, ,170822185974,170716185974,,,,,,,,
"19,481",107,WILBUR, ,171217187438,171238187335,,,,,,,,
"2,382",107,SMYRNA CLAYTON, ,171099186168,171098186275,,,,,,,,
"2,448",107,COLLEGE, ,171025187194,171014187301,,,,,,,,
"2,340",109,CLEVELAND, ,171587187323,171694187301,,,,,,,,
"19,489",109,VASSAR, ,169294187401,169234187492,,,,,,,,
"19,364",109,ORCHARD, ,170865186494,170910186592,,,,,,,,
"17,680",111,BEVERLY, ,170614186165,170642186273,,,,,,,,
"19,373",111,HULLIHEN, ,170173186644,170277186647,,,,,,,,
"19,517",112,GRAYS, ,170459187738,170361187685,,,,,,,,
"19,265",112,MANNS, ,170704185834,170592185831,,,,,,,,
"19,429",112,CHURCH, ,170758187060,170861187104,,,,,,,,
"19,282",114,PARK, ,170716185974,170601185971,,,,,,,,
"2,411",115,CASHO MILL, ,169235186465,169229186580,,,,,,,,
"39,370",115,EMILY BELL, ,170525187563,170420187516,,,,,,,,
"2,408",116,COLLEGE, ,171097186444,171095186560,,,,,,,,
"39,822",117,RADCLIFFE, ,169584186849,169601186964,,,,,,,,
"19,291",117,HAINES, ,171779185994,171853185904,,,,,,,,
"17,656",117,ACADEMY, ,171354185925,171356185808,,,,,,,,
"19,201",118,O DANIEL, ,169543185956,169464185870,,,,,,,,
"19,422",118,FISKE, ,169472187029,169386186949,,,,,,,,
382,119,CHAPEL, ,171744187194,171694187301,,,,,,,,
"19,289",119,O DANIEL, ,169675185895,169613185992,,,,,,,,
"19,268",119,MANNS, ,170823185839,170704185834,,,,,,,,
"3,743",119,NEW LONDON,y,170758187060,170695187161,,,,,,,,
"2,393",120,OLD BARKSDALE, ,170394186350,170282186393,,,,,,,,
"19,204",120,PARK, ,170377185967,170257185968,,,,,,,,
"19,415",123,OLD OAK, ,170321186959,170268186848,,,,,,,,
"40,504",123,ELKTON,y,170009185931,169931185836,,,,,,,,
"19,264",124,MANNS, ,170592185831,170468185827,,,,,,,,
"1,169",125,ELKTON,y,170277186202,170361186294,,,,,,,,
"19,404",125,VASSAR, ,169279186767,169276186891,,,,,,,,
"40,522",125,ELKTON,y,170353186303,170268186212,,,,,,,,
"19,444",125,CORBIT, ,170510187205,170455187092,,,,,,,,
"19,353",127,LOVETT, ,171874186484,171749186464,,,,,,,,
"19,436",128,DALLAM, ,169472187029,169448187152,,,,,,,,
"19,413",129,FISKE, ,169386186949,169276186891,,,,,,,,
"17,678",130,CHAMBERS, ,171924186222,171799186187,,,,,,,,
"2,315",130,COLLEGE, ,171103185805,171101185935,,,,,,,,
"19,206",132,PARK, ,170601185971,170469185970,,,,,,,,
"19,383",134,OLD OAK, ,170230186765,170173186644,,,,,,,,
"19,283",135,ORCHARD, ,170823185839,170822185974,,,,,,,,
"2,456",135,NEW LONDON, ,170564187433,170525187563,,,,,,,,
"19,420",136,HILLSIDE, ,170627187010,170570186886,,,,,,,,
"19,316",136,SUNSET, ,171099186168,170963186169,,,,,,,,
"19,810",136,RAY,y,170732187330,170603187334,,,,,,,,
"19,280",138,PARK, ,171101185935,170964185946,,,,,,,,
383,138,MAIN, ,169746187440,169871187379,,,,,,,,
"40,570",139,MAIN,y,172086186985,171948186971,,,,,,,,
"2,479",139,NEW LONDON, ,170459187738,170379187851,,,,,,,,
"19,450",140,DALLAM, ,169678187297,169797187227,,,,,,,,
"19,440",140,NEW, ,171510187151,171647187176,,,,,,,,
"17,571",141,BEVERLY, ,170592185831,170601185971,,,,,,,,
"19,314",143,SUNSET, ,170963186169,170820186168,,,,,,,,
"19,340",143,ETHAN ALLEN, ,169520186275,169630186233,,,,,,,,
"17,570",143,APPLE, ,170469185970,170468185827,,,,,,,,
"1,118",144,ELKTON,y,170073185987,170172186092,,,,,,,,
"19,284",145,PARK, ,170964185946,170822185974,,,,,,,,
"17,679",147,BLAIR, ,169299186233,169382186161,,,,,,,,
"19,410",147,HAINES, ,171620186938,171635186792,,,,,,,,
"19,203",147,WILLA, ,170257185968,170259185821,,,,,,,,
"1,198",147,DELAWARE,y,170947186735,171094186738,,,,,,,,
"17,721",148,BENT, ,169684186865,169793186965,,,,,,,,
"17,725",148,CENTER, ,171542186931,171520187077,,,,,,,,
"19,347",149,COLONIAL, ,169520186422,169520186275,,,,,,,,
"19,317",149,JULIE, ,169178186127,169318186179,,,,,,,,
"17,719",150,ACADEMY, ,171458186923,171448186773,,,,,,,,
"2,424",150,COLLEGE, ,171094186738,171092186888,,,,,,,,
"19,424",150,FISKE, ,169616187056,169472187029,,,,,,,,
"19,202",151,PHELPS, ,169543185956,169548185826,,,,,,,,
"19,293",151,COURTNEY, ,171630186017,171779185994,,,,,,,,
"19,381",151,ORCHARD, ,170910186592,170947186735,,,,,,,,
"19,458",151,ROSE, ,170732187330,170739187182,,,,,,,,
"19,279",152,PARK, ,172000185944,171853185904,,,,,,,,
"19,339",154,VETERANS, ,170268186212,170132186280,,,,,,,,
"19,263",156,WESTFIELD, ,169548185826,169478185751,,,,,,,,
"19,297",158,GRANTHAM, ,170615186069,170456186067,,,,,,,,
"40,566",159,MAIN,y,171948186971,171789186955,,,,,,,,
"19,305",160,MADISON, ,169946185990,169991186134,,,,,,,,
"2,339",161,CLEVELAND, ,171433187281,171587187323,,,,,,,,
"2,429",162,CHAPEL, ,171817186795,171789186955,,,,,,,,
"19,302",164,COLLEGE, ,169951186129,169922185988,,,,,,,,
"2,391",164,CASHO MILL, ,169299186233,169242186387,,,,,,,,
"39,825",167,RADCLIFFE, ,169629187138,169678187297,,,,,,,,
"19,308",168,WYOMING, ,171945186149,171783186104,,,,,,,,
"1,207",169,DELAWARE,y,171817186795,171982186787,,,,,,,,
"2,398",169,COLLEGE, ,171098186275,171097186444,,,,,,,,
"19,460",169,TANGLEWOOD, ,169889187182,169963187334,,,,,,,,
"40,554",170,ELKTON,y,170882186884,170761186765,,,,,,,,
"2,438",170,HILLSIDE, ,170627187010,170695187161,,,,,,,,
"17,731",170,BENT, ,169977187138,170055187289,,,,,,,,
"17,948",171,BRIAR, ,169872187379,169797187227,,,,,,,,
"17,732",173,BAYLOR, ,169541187153,169586187319,,,,,,,,
"40,555",173,MAIN,y,171055186886,170882186884,,,,,,,,
"19,309",173,SUNSET, ,170614186165,170441186165,,,,,,,,
"19,403",175,FOREST, ,170570186886,170733186823,,,,,,,,
"19,513",175,OLD CASHO MILL, ,169192187516,169241187685,,,,,,,,
"2,413",178,COLLEGE, ,171095186560,171094186738,,,,,,,,
"19,430",178,OLD OAK, ,170397187120,170321186959,,,,,,,,
"17,642",179,APPLE, ,170468185827,170470185648,,,,,,,,
"17,643",182,BEVERLY, ,170594185649,170592185831,,,,,,,,
"19,482",183,NORTH, ,171037187412,171217187438,,,,,,,,
"19,266",184,TOWNSEND, ,170704185834,170706185650,,,,,,,,
"1,208",184,DELAWARE,y,171635186792,171817186795,,,,,,,,
"2,445",186,CLEVELAND, ,171253187230,171433187281,,,,,,,,
"2,390",187,BARKSDALE, ,169059186348,169242186387,,,,,,,,
"17,702",187,AMSTEL, ,170910186592,170739186668,,,,,,,,
"1,205",187,DELAWARE,y,171448186773,171635186792,,,,,,,,
"19,269",188,ORCHARD, ,170824185652,170823185839,,,,,,,,
"19,286",188,PARK, ,170257185968,170073185987,,,,,,,,
"2,472",188,NEW LONDON, ,170525187563,170459187738,,,,,,,,
"37,469",189,FARMER, ,171948186971,171982186787,,,,,,,,
378,190,MAIN, ,170455187092,170627187010,,,,,,,,
"2,396",192,BARKSDALE, ,169329186405,169520186422,,,,,,,,
"17,697",192,AMSTEL, ,171095186560,170910186592,,,,,,,,
"19,298",192,MURRAY, ,170356186067,170172186092,,,,,,,,
"19,311",193,TOWNSEND, ,170715186166,170716185974,,,,,,,,
"19,313",194,ORCHARD, ,170822185974,170820186168,,,,,,,,
"2,341",196,NEW LONDON, ,170695187161,170603187334,,,,,,,,
"40,499",198,ELKTON,y,169931185836,169802185687,,,,,,,,
"17,734",198,BAYLOR, ,169586187319,169467187450,,,,,,,,
"1,203",199,DELAWARE,y,170761186765,170947186735,,,,,,,,
377,200,MAIN, ,170627187010,170804186920,,,,,,,,
"17,667",201,ASHLEY, ,171972186046,171779185994,,,,,,,,
"19,361",202,CONTINENTAL, ,171860186560,171662186524,,,,,,,,
"1,180",203,ELKTON,y,170403186343,170536186497,,,,,,,,
"40,535",203,ELKTON,y,170529186501,170394186350,,,,,,,,
"2,460",203,COLLEGE, ,171037187412,171072187612,,,,,,,,
"17,727",208,AMHERST, ,169386186949,169359187150,,,,,,,,
"2,334",209,CASHO MILL, ,169391185984,169318186179,,,,,,,,
"19,322",216,MADISON, ,169901186243,169715186144,,,,,,,,
"3,734",216,NEW LONDON,y,170882186884,170758187060,,,,,,,,
"17,706",217,BRIAR, ,169668186764,169796186619,,,,,,,,
"40,514",219,ELKTON,y,170204186145,170055185986,,,,,,,,
"1,114",221,ELKTON,y,169932185817,170073185987,,,,,,,,
"19,315",223,INDIAN, ,170963186169,170964185946,,,,,,,,
"2,449",226,CASHO MILL, ,169209187221,169155187439,,,,,,,,
"2,418",226,CASHO MILL, ,169229186580,169221186805,,,,,,,,
"19,461",226,PROSPECT, ,171014187301,171238187335,,,,,,,,
"19,275",227,PARK, ,171853185904,171626185914,,,,,,,,
"19,354",230,ORCHARD, ,170819186273,170865186494,,,,,,,,
"2,443",231,CLEVELAND, ,171025187194,171253187230,,,,,,,,
"2,336",233,WYOMING, ,171945186149,172168186217,,,,,,,,
"2,333",234,COLLEGE, ,171101185935,171099186168,,,,,,,,
"17,729",235,CHOATE, ,171647187176,171689186945,,,,,,,,
"19,326",235,WINSLOW, ,170642186273,170415186240,,,,,,,,
"2,417",239,CHAPEL, ,171860186560,171817186795,,,,,,,,
"17,733",239,AMHERST, ,169359187150,169395187384,,,,,,,,
"19,355",242,KENT, ,171097186444,170865186494,,,,,,,,
380,244,CHAPEL, ,171789186955,171744187194,,,,,,,,
"19,356",247,LOVETT, ,171668186455,171427186505,,,,,,,,
"19,272",247,O DANIEL, ,169802185687,169675185895,,,,,,,,
"2,318",249,CASHO MILL, ,169478185751,169391185984,,,,,,,,
"40,544",250,ELKTON,y,170690186692,170529186501,,,,,,,,
"1,193",252,ELKTON,y,170536186497,170699186689,,,,,,,,
"17,726",252,BENT, ,169793186965,169977187138,,,,,,,,
"19,278",253,PARK, ,171354185925,171101185935,,,,,,,,
"2,432",255,CASHO MILL, ,169221186805,169216187060,,,,,,,,
385,255,PAPER MILL, ,171666187336,"171,533,187,554",,,,,,,,
"19,433",256,VASSAR, ,169276186891,169271187147,,,,,,,,
"19,441",257,TANGLEWOOD, ,169793186965,169889187182,,,,,,,,
"19,384",258,SYPHERD, ,170464186655,170230186765,,,,,,,,
"19,474",259,VASSAR, ,169271187147,169294187401,,,,,,,,
"17,696",259,BRIAR, ,169882186584,170137186566,,,,,,,,
"17,713",259,CHELTENHAM, ,170268186848,170504186739,,,,,,,,
392,260,PAPER MILL, ,171533187554,171452187800,,,,,,,,
"19,416",261,DALLAM, ,170321186959,170550186834,,,,,,,,
"17,738",261,BAYLOR, ,169467187450,169234187492,,,,,,,,
"17,722",261,CHELTENHAM, ,170042186972,170268186848,,,,,,,,
"19,294",263,COURTNEY, ,171367186028,171630186017,,,,,,,,
"2,401",268,CHAPEL, ,171924186222,171874186484,,,,,,,,
"17,707",269,ACADEMY, ,171448186773,171427186505,,,,,,,,
"19,386",270,HAINES, ,171635186792,171662186524,,,,,,,,
"19,277",273,PARK, ,171626185914,171354185925,,,,,,,,
"19,338",279,WINSLOW, ,171098186275,170819186273,,,,,,,,
"19,406",279,SYPHERD, ,170230186765,169986186896,,,,,,,,
"19,459",279,DALLAM, ,169448187152,169586187319,,,,,,,,
"17,688",281,BENNY, ,171799186187,171749186464,,,,,,,,
"19,809",284,RAY,y,171014187319,170732187330,,,,,,,,
"19,508",284,WHITE CLAY, ,171072187612,171345187551,,,,,,,,
"2,441",287,CLEVELAND, ,170739187182,171025187194,,,,,,,,
"19,713",291,TIMBER CREEK, ,169155187439,169209187221,,,,,,,,
"2,403",306,APPLE, ,170139186518,170353186303,,,,,,,,
"19,348",309,HAINES, ,171668186455,171759186213,,,,,,,,
"2,440",309,COLLEGE, ,171055186886,171025187194,,,,,,,,
"17,690",312,BEVERLY, ,170642186273,170536186497,,,,,,,,
"19,319",321,COLLEGE, ,169715186144,169951186129,,,,,,,,
"31,826",325,THORN, ,169391185984,169643186130,,,,,,,,
"19,405",342,WILSON, ,169796186619,169986186896,,,,,,,,
"19,374",343,HILLSIDE, ,170464186655,170163186528,,,,,,,,
"1,202",356,DELAWARE,y,171094186738,171448186773,,,,,,,,
"19,397",367,COLGATE, ,169281186666,169584186849,,,,,,,,
"40,558",368,MAIN,y,171458186923,171092186888,,,,,,,,
"19,299",376,THORN, ,169931185836,169688186110,,,,,,,,
381,382,MAIN, ,170055187289,170397187120,,,,,,,,
"19,431",389,DALLAM, ,169977187138,170321186959,,,,,,,,
"17,730",393,BRIAR, ,169797187227,169684186865,,,,,,,,
"19,417",394,HARVARD, ,169279186767,169601186964,,,,,,,,
"17,708",399,BENT, ,169283186581,169607186793,,,,,,,,
"19,380",405,HULLIHEN, ,169882186584,170173186644,,,,,,,,
"17,723",467,CHELTENHAM, ,169668186764,170042186972,,,,,,,,
"17,691",481,ACADEMY, ,171427186505,171367186028,,,,,,,,
"2,345",516,CLEVELAND, ,171671187337,172184187320,,,,,,,,
390,546,MAIN, ,169241187685,169732187447,,,,,,,,
"2,402",630,BARKSDALE, ,169520186422,170139186518,,,,,,,,
"2,610","3,020",COLLEGE, ,171072187612,170559190414,,,,,,,,
